cluster,n_instances,split_into,part_sizes,largest_share,reviewer_verdict,reviewer_note
complete-case / listwise deletion,84,26,16|15|8|7|4|3|3|3|3|3|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1,0.19,,
drop rows with a missing bias score (complete-case),15,11,3|2|2|1|1|1|1|1|1|1|1,0.2,,
"predict at a single fixed reference profile (means/modal categories), then difference",5,5,1|1|1|1|1,0.2,,
"drop-middle dichotomize, unspecified cutoffs",8,6,2|2|1|1|1|1,0.25,,
include/test the skin-tone × bias interaction term in the model,8,6,2|2|1|1|1|1,0.25,,
report a risk difference alone,4,4,1|1|1|1,0.25,,
descriptive Table 1 of raw/unadjusted covariate means by group,11,6,3|3|2|1|1|1,0.273,,
listwise deletion over the model's variable set (covariates + outcome),50,18,15|7|5|4|3|3|2|1|1|1|1|1|1|1|1|1|1|1,0.3,,
crude risk difference with Wald SE/CI,16,6,5|4|4|1|1|1,0.312,,
robustness: ADD a covariate to the adjustment set,18,7,6|4|3|2|1|1|1,0.333,,
drop a single covariate from the adjustment set,15,5,5|3|3|3|1,0.333,,
"frame as supported-with-caveats (hedged, small, heterogeneous)",3,3,1|1|1,0.333,,
unspecified/generic covariate set,3,3,1|1|1,0.333,,
"compute VIF on all covariates, no threshold or subset specified",3,3,1|1|1,0.333,,
day-based age at unspecified single fixed reference date,3,3,1|1|1,0.333,,
treat the literal 'NA' string as missing before numeric coercion,3,3,1|1|1,0.333,,
HC1 heteroskedasticity-robust SEs,8,6,3|1|1|1|1|1,0.375,,
chi-square test of independence on skin-tone group vs red card,5,4,2|1|1|1,0.4,,
games only,17,6,7|4|2|2|1|1,0.412,,
search single cutoff maximizing effect size,24,6,10|5|4|3|1|1,0.417,,
report a risk difference plus an odds ratio,19,4,8|6|3|2,0.421,,
games + position,7,4,3|2|1|1,0.429,,
declare hypothesis supported (significant/robust),7,5,3|1|1|1|1,0.429,,
trichotomize at 0.25/0.75,16,4,7|7|1|1,0.438,,
Pearson correlation only,18,4,8|8|1|1,0.444,,
hardcoded SUPPORTED regardless of significance,9,3,4|4|1,0.444,,
"unadjusted, no covariates (crude OR)",11,4,5|4|1|1,0.455,,
log(games) + position + league,30,8,14|10|1|1|1|1|1|1,0.467,,
LPM (OLS) with cluster-robust SEs,10,2,5|5,0.5,,
LPM (OLS) with player-clustered SEs,8,4,4|2|1|1,0.5,,
log(games) + position + league + height + weight,6,4,3|1|1|1,0.5,,
re-express RD as a relative percent increase over baseline,6,3,3|2|1,0.5,,
"games, height, weight, goals, yellowCards, meanIAT, meanExp, position, league",6,4,3|1|1|1,0.5,,
"linear games, position, league, height, weight (standardized or raw)",4,2,2|2,0.5,,
"trichotomize, unspecified cutoffs (keep medium)",4,3,2|1|1,0.5,,
refit the adjusted model separately within a restricted subset of leagues,4,3,2|1|1,0.5,,
catch and drop bootstrap iterations whose model fit throws an exception,4,2,2|2,0.5,,
overstate/embellish the conclusion beyond what the numbers support,4,3,2|1|1,0.5,,
LPM with HC3 robust SEs,4,3,2|1|1,0.5,,
drop one covariate from the primary model (target varies),4,3,2|1|1,0.5,,
express adjusted effect as relative percentage increase over light-skin baseline,4,3,2|1|1,0.5,,
"logistic, continuous skin tone, full adjustment, default SEs",4,3,2|1|1,0.5,,
rescale to per-0.5-unit effect,2,2,1|1,0.5,,
"unadjusted, no covariates, standard errors clustered by player",2,2,1|1,0.5,,
disjunction: p<0.05 OR CI excludes zero,2,2,1|1,0.5,,
day-based age at unspecified fixed end-of-season date,2,2,1|1,0.5,,
standardize/z-score covariates before entering the model,2,2,1|1,0.5,,
games + yellowCards + age + position + league + height + weight,2,2,1|1,0.5,,
log(games) only,2,2,1|1,0.5,,
require at least 5 games per dyad,2,2,1|1,0.5,,
z-score covariates and zero-fill (mean-impute) missing standardized values,2,2,1|1,0.5,,
hardcode fabricated numbers instead of computed results,2,2,1|1,0.5,,
"log-transform games (left unstandardized), z-score height and weight",2,2,1|1,0.5,,
"check LPM predicted probabilities for out-of-[0,1] values",2,2,1|1,0.5,,
tabulate covariates by exposure group as a balance/characterization check,2,2,1|1,0.5,,
day-based age at fixed 2012-08-01 (season-start),2,2,1|1,0.5,,
"games, position, league, yellowCards, meanIAT, meanExp, height, weight, age",2,2,1|1,0.5,,
Poisson regression of counts with no offset,2,2,1|1,0.5,,
refit across a ladder of nested adjustment sets,2,2,1|1,0.5,,
exclude dyads with zero games (keep games >= 1),2,2,1|1,0.5,,
sweep cutpoints 0.375/0.5,2,2,1|1,0.5,,
"selectively curate a supporting subset of estimates, excluding contrary/continuous-exposure results",2,2,1|1,0.5,,
unadjusted logistic regression (OR scale),2,2,1|1,0.5,,
log(games) + age + position + league + height + weight,2,2,1|1,0.5,,
rescale to per-0.1-unit effect,2,2,1|1,0.5,,
report the model coefficient's Wald test (z-statistic / p-value on the log-odds scale) for the exposure term,2,2,1|1,0.5,,
dummy/one-hot encode league country with one level held out as reference,2,2,1|1,0.5,,
frame conclusion around cross-league heterogeneity,2,2,1|1,0.5,,
color-code/highlight visualization bars by whether p<0.05,2,2,1|1,0.5,,
no interaction — main effects only,2,2,1|1,0.5,,
bootstrap p<0.05,2,2,1|1,0.5,,
"exclude goalkeepers as primary spec, include them as sensitivity check",2,2,1|1,0.5,,
"include goalkeepers as baseline, exclude them as a robustness check",2,2,1|1,0.5,,
two-proportion z-test on the group difference,2,2,1|1,0.5,,
empirically pick a cutoff that maximizes the group split,2,2,1|1,0.5,,
"no games, no age; position + league + height + weight",2,2,1|1,0.5,,
restrict to players with >=10 games (QC sample),2,2,1|1,0.5,,
one-sided as decision criterion for directional hypothesis,2,2,1|1,0.5,,
OLS/linear regression on the raw red-card count,2,2,1|1,0.5,,
"add a skin-tone x explicit-bias (country-mean-Exp) cross-level interaction slope to the preferred multilevel/Bayesian model, with N(0,1) prior",2,2,1|1,0.5,,
report a rater-block's full OLS/FE coefficients in the main table,2,2,1|1,0.5,,
"LPM with rater x referee-bias interaction, clustered SE",2,2,1|1,0.5,,
drop-middle dichotomize 1-5 scale at 3,2,2,1|1,0.5,,
model disciplinary outcome from club + position (no skin tone),2,2,1|1,0.5,,
"mixed logistic, random slope for skin-tone by referee",2,2,1|1,0.5,,
restrict each question to non-missing values of that question's own key variable,2,2,1|1,0.5,,
"full standard set: games, position, league, height, weight, player+referee ids",21,9,11|2|2|1|1|1|1|1|1,0.524,,
drop-middle dichotomize 0.375/0.625,9,4,5|2|1|1,0.556,,
enter as per-game rate,9,3,5|2|2,0.556,,
"add a league × skin-tone interaction term, tested via LRT",9,5,5|1|1|1|1,0.556,,
stratify the adjusted regression model by league (one model per league),9,3,5|3|1,0.556,,
"dyad/observation-level nonparametric bootstrap, refit logistic, percentile CI",26,7,15|4|3|1|1|1|1,0.577,,
model-based Wald CI/p from the GLM coefficient SE,19,7,11|3|1|1|1|1|1,0.579,,
"fit a secondary logistic regression with the same covariates, reported as an odds ratio",12,4,7|2|2|1,0.583,,
"single-cutoff dichotomize, unspecified cutoff, full sample",22,6,13|3|3|1|1|1,0.591,,
report the average marginal effect / risk difference (RD) as primary,25,4,15|8|1|1,0.6,,
logistic regression on binary red-card indicator,25,6,15|5|2|1|1|1,0.6,,
"compute minimum detectable effect at 80% power, alpha=0.05",5,3,3|1|1,0.6,,
assemble a comparison/summary table of model fit statistics across specifications,5,2,3|2,0.6,,
sweep cutpoints 0.375/0.5/0.625,5,2,3|2,0.6,,
"Poisson GLM with log(games) offset, plain",5,3,3|1|1,0.6,,
p<0.05 AND direction AND CI lower bound,5,2,3|2,0.6,,
include unspecified referee bias measure(s) as a covariate/block,5,3,3|1|1,0.6,,
Poisson regression on raw counts with log(games) exposure offset,13,4,8|3|1|1,0.615,,
"categorical factor, grouping/count unspecified",8,3,5|2|1,0.625,,
raw games + position + league,11,3,7|3|1,0.636,,
"report raw unadjusted rates by group, no formal test/differencing",39,6,25|7|3|2|1|1,0.641,,
"crude risk difference, point estimate only (no test or CI)",58,7,38|5|4|4|4|2|1,0.655,,
"cluster-robust SEs, varying clustering dimension (unspecified / player / referee / two-way player+referee / referee-country)",114,16,75|18|4|3|2|2|1|1|1|1|1|1|1|1|1|1,0.658,,
games raw linear + position + league + height + weight,15,5,10|2|1|1|1,0.667,,
one correlation plus exact-match rate,12,3,8|3|1,0.667,,
add one covariate to the primary model (target varies),9,4,6|1|1|1,0.667,,
"CI excludes zero only, no p-value",9,3,6|2|1,0.667,,
extreme groups at endpoints 0 vs 1,9,3,6|2|1,0.667,,
median split (data-driven single cutoff),6,3,4|1|1,0.667,,
"logistic/binomial GEE, exchangeable within-player correlation",3,2,2|1,0.667,,
check multicollinearity using VIF,3,2,2|1,0.667,,
bin games-played into categories for a descriptive plot,3,2,2|1,0.667,,
"games, age, height, weight, position, league, meanIAT, meanExp",3,2,2|1,0.667,,
re-express RD as relative-% increase plus number-needed-to-expose,3,2,2|1,0.667,,
three-tier verdict from dual 0.05/0.10 p cutoffs plus CI,3,2,2|1,0.667,,
stratify the adjusted analysis by position subgroup,3,2,2|1,0.667,,
"raw games, position, league, yellowCards",3,2,2|1,0.667,,
declare the hypothesis NOT supported,3,2,2|1,0.667,,
refit the full adjusted model separately within each league,3,2,2|1,0.667,,
conventional non-robust / model-based SEs,3,2,2|1,0.667,,
no games; position + league + age + height + weight,3,2,2|1,0.667,,
single-cutoff dichotomize at 0.125,3,2,2|1,0.667,,
outcome = red cards only (straight reds + second-yellow reds),3,2,2|1,0.667,,
"extreme groups light=0 vs dark>=0.75, drop middle",3,2,2|1,0.667,,
HC3 heteroskedasticity-robust SEs,3,2,2|1,0.667,,
restrict to a subgroup and refit,3,2,2|1,0.667,,
"collapse to one row per player, summing counts",3,2,2|1,0.667,,
linear OLS cascade with referee fixed effects,3,2,2|1,0.667,,
categorical rater1 exposure through referee fixed effects,3,2,2|1,0.667,,
code rating as categorical factor (all levels),3,2,2|1,0.667,,
"single correlation only, no exact-match",10,3,7|2|1,0.7,,
binary: p<0.05 AND direction,24,5,17|4|1|1|1,0.708,,
six-category scheme: four positions plus separate Other and Missing/Unknown residuals,11,2,8|3,0.727,,
"drop the Medium group, keep only Light and Dark",23,4,17|4|1|1,0.739,,
report only an odds ratio,169,5,125|41|1|1|1,0.74,,
aggregate to one row per player,8,3,6|1|1,0.75,,
"collapse into 6 categories, underspecified (Winger or Other+Unknown)",4,2,3|1,0.75,,
"log(games), position, height, weight, yellowCards, league",4,2,3|1,0.75,,
report exclusion/sample counts as hardcoded literals rather than computed from data,4,2,3|1,0.75,,
"sweep cutpoints, unspecified values",4,2,3|1,0.75,,
include goalkeepers in the sample,4,2,3|1,0.75,,
screen a player-level variable for confounding by testing its association with skin tone,4,2,3|1,0.75,,
z-score height and weight only,9,2,7|2,0.778,,
hard-code reported summary/plot effect estimates as literal values instead of computing them from data,9,2,7|2,0.778,,
collapse into 5 categories (four core + single catch-all),40,3,32|5|3,0.8,,
require at least 2 games per dyad,20,4,16|2|1|1,0.8,,
single-cutoff dichotomize at 0.375,5,2,4|1,0.8,,
sensitivity sweep across several unspecified cutoffs,5,2,4|1,0.8,,
retain all skin-tone categories (no collapsing),5,2,4|1,0.8,,
"player-level cluster bootstrap, refit logistic, percentile CI",24,4,20|2|1|1,0.833,,
single-cutoff dichotomize at 0.75,12,2,10|2,0.833,,
games + yellowCards + position + league + height + weight,6,2,5|1,0.833,,
"log(games) as covariate, no offset",58,5,49|4|3|1|1,0.845,,
bare p<0.05 alone,27,4,23|2|1|1,0.852,,
"Pearson and Spearman correlation only, no exact-match",7,2,6|1,0.857,,
baseline + meanIAT + meanExp (both bias terms),8,2,7|1,0.875,,
drop-middle dichotomize 0.125/0.75,8,2,7|1,0.875,,
log-transform with +1 offset (log1p),9,2,8|1,0.889,,
conjunction: p<0.05 AND CI excludes null,32,3,29|2|1,0.906,,
drop the reference level (+ intercept),34,4,31|1|1|1,0.912,,
drop-middle dichotomize 0.25/0.75,59,3,54|4|1,0.915,,
"marginal standardization / g-computation: average counterfactual predictions over the observed sample, then difference",139,4,130|7|1|1,0.935,,
"year-only subtraction, fixed 2012 reference year",16,2,15|1,0.938,,
single-cutoff dichotomize at 0.25,34,3,32|1|1,0.941,,
"overall median-impute continuous covariates (height/weight, ±age)",17,2,16|1,0.941,,
"enter continuous, raw (per-unit, full range)",121,7,114|2|1|1|1|1|1,0.942,,
"bootstrap p-value from tail proportion of draws crossing zero, resampling scheme unspecified",18,2,17|1,0.944,,
"analytic delta-method SE via g-computation gradient, Wald CI/p",52,3,50|1|1,0.962,,
"collapse into 4 categories (GK/Def/Mid/Fwd), no residual",29,2,28|1,0.966,,
z-score a varying subset of continuous covariates (umbrella/aggregate),38,2,37|1,0.974,,
"parametric bootstrap from full coefficient MVN/covariance, percentile-quantile inference (percentile CI and crossing-zero p are duals of the same draws)",40,2,39|1,0.975,,
single-cutoff dichotomize at 0.5,63,2,62|1,0.984,,
binarize into a binary any-red indicator (logistic/binary model),198,3,196|1|1,0.99,,
average the two raters,213,2,212|1,0.995,,
"load the raw, unfiltered player-referee dyad dataset",209,2,208|1,0.995,,
