fork,option,occurrence,members,runs
How much regression-coefficient detail is included in the reported table?,report a rater-block's full OLS/FE coefficients in the main table,1,1,1
How much regression-coefficient detail is included in the reported table?,report a rater-block's full OLS/FE coefficients in the main table #2,2,1,1
how is the exploratory disciplinary-outcome model without skin tone specified (c,model disciplinary outcome from club + position (no skin tone),1,1,1
how is the exploratory disciplinary-outcome model without skin tone specified (c,model disciplinary outcome from club + position (no skin tone) #2,2,1,1
which effect-size measure is used to express the exposure's effect on red cards?,report only an odds ratio,1,168,168
which effect-size measure is used to express the exposure's effect on red cards?,report only an odds ratio #2,2,1,1
how is moderation of the referee-bias effect by player skin tone assessed?,include/test the skin-tone × bias interaction term in the model,1,6,6
how is moderation of the referee-bias effect by player skin tone assessed?,include/test the skin-tone × bias interaction term in the model #2,2,2,2
How is the middle (Medium) skin-tone category handled?,"drop the Medium group, keep only Light and Dark",1,22,22
How is the middle (Medium) skin-tone category handled?,"drop the Medium group, keep only Light and Dark #2",2,1,1
how is moderation modeled on the regression right-hand side?,add rater × moderator interaction terms to the moderation RHS,1,1,1
how is moderation modeled on the regression right-hand side?,add rater × moderator interaction terms to the moderation RHS #2,2,1,1
"which regression model, estimator, and SE scheme specifies the primary confound-","logistic, continuous skin tone, full adjustment, default SEs",1,2,2
"which regression model, estimator, and SE scheme specifies the primary confound-","logistic, continuous skin tone, full adjustment, default SEs #2",2,1,1
"which regression model, estimator, and SE scheme specifies the primary confound-","logistic, continuous skin tone, full adjustment, default SEs #3",3,1,1
how is the skin-tone rating entered as the exposure — continuous or split/binned,"enter continuous, raw (per-unit, full range)",1,116,114
how is the skin-tone rating entered as the exposure — continuous or split/binned,"enter continuous, raw (per-unit, full range) #2",2,5,5
which covariates make up the model's adjustment set?,games only,1,15,14
which covariates make up the model's adjustment set?,games only #2,2,2,2
what bootstrap resampling scheme is used to compute the confidence interval?,"dyad/observation-level nonparametric bootstrap, refit logistic, percentile CI",1,24,24
what bootstrap resampling scheme is used to compute the confidence interval?,"dyad/observation-level nonparametric bootstrap, refit logistic, percentile CI #2",2,2,2
