run_id	arm	lines	confidence	operation
2025-11-12T09-30-16+0000	ai	32-33	medium	load the full soccer referee-player dyad dataset from a fixed CSV path with no additional row-level scope restriction
2025-11-12T09-30-16+0000	ai	189-191	medium	discard bootstrap draws whose resampled dataset has fewer than 1000 rows
2025-11-12T09-30-16+0000	ai	192-205,212-214	high	rebuild the covariate design matrix for each bootstrap draw and refit the logistic GLM with a plain (non-cluster-robust) fit, silently skipping draws whose fit raises an exception
2025-11-12T09-52-44+0000	ai	53-70,310-310	high	bucket free-text position strings into Goalkeeper/Defender/Midfielder/Forward/Unknown via keyword matching
2025-11-12T09-52-44+0000	ai	313-314	medium	drop remaining dyads missing height or weight before fitting the continuous-exposure model
2025-11-12T10-05-42+0000	ai	31-32	high	loads the raw player-referee dyad dataset from CSV as the analysis input
2025-11-12T10-39-00+0000	ai	105-110	high	one-hot encode position and league with drop_first=True, fixing the omitted category as the implicit reference level
2025-11-12T10-39-00+0000	ai	162-163	medium	construct the odds-ratio confidence interval via a manual normal (Wald) approximation on the log-odds scale using a fixed 1.96 multiplier, rather than the model's own CI method
2025-11-12T12-24-45+0000	ai	218-225	high	use continuous skin tone instead of the binarized exposure and refit the adjusted model
2025-11-12T12-24-45+0000	ai	249-295	medium	assemble a single summary table choosing which of the primary, secondary, stratified, and sensitivity estimates to report together and how to format them
2025-11-12T12-54-24+0000	ai	56-72	high	recode the detailed playing position into four coarse role groups, sending anything unmapped to Other
2025-11-12T13-46-32+0000	negative	79-82	high	choose which columns define a complete case for modeling (outcome, exposure, covariates, id fields)
2025-11-12T13-46-32+0000	negative	324-324	medium	require at least 100 dyads in the extreme-comparison sample before fitting a model
2025-11-12T17-30-15+0000	ai	10-10	high	load the full soccer dataset from a fixed file path as the analysis source
2025-11-12T17-30-15+0000	ai	21-21	high	encode the treatment indicator so that dark skin tone is coded 1 and light is the reference 0
2025-11-12T17-30-15+0000	ai	42-43	high	narrow the working data down to just the outcome, treatment, covariates, and identifiers that will enter the model
2025-11-12T18-01-53+0000	ai	233-241	medium	bin continuous skin tone into five display categories with custom edges for the bar chart
2025-11-12T18-56-42+0000	standard	21-22	high	load the specific source CSV as the analysis input
2025-11-12T18-56-42+0000	standard	28-29	high	average the two rater columns into one continuous skin-tone score
2025-11-12T18-56-42+0000	standard	96-96	high	encode player identity as a numeric ID to use as the clustering unit
2025-11-12T19-55-38+0000	ai	33-33	medium	load the raw player-referee dyad soccer dataset from CSV
2025-11-12T19-55-38+0000	ai	83-85	high	encode dark-skin group membership as a binary exposure variable
2025-11-12T19-55-38+0000	ai	92-95	high	select and restrict the columns carried into the modeling dataset
2025-11-12T21-15-40+0000	ai	68-69	medium	impute missing player position with the literal category 'Unknown'
2025-11-12T22-55-33+0000	standard	29-31	high	average two independent raters' skin-tone scores into a single continuous skin_tone_avg measure
2025-11-12T22-55-33+0000	standard	237-238	medium	bin continuous skin tone into quarter-range categories for a bar-chart summary of red card rate
2025-11-13T00-05-19+0000	standard	78-79	medium	encode dark skin tone as the exposure indicator (1) versus light (0)
2025-11-14T22-05-46+0000	standard	53-54	high	derive player age at a fixed reference year (2012) from birthday
2025-11-15T01-08-22+0000	standard	70-74	high	compute player age at a fixed end-of-season reference date
2025-11-15T02-22-25+0000	standard	43-43	high	collapse the red-card count into a binary any-red-card outcome
2025-11-15T02-22-25+0000	standard	209-210	medium	discard a bootstrap replicate if it has fewer than 1000 dyads or fewer than 10 red-card events
2025-11-15T02-22-25+0000	standard	222-222	low	cap bootstrap model fitting at 50 iterations and suppress convergence warnings
2025-11-15T02-22-25+0000	standard	235-236	medium	silently drop any bootstrap replicate whose fit raises an exception
2025-11-15T15-03-11+0000	ai	94-97	medium	choose which columns enter the modeling dataset, fixing the covariate set available to later models
2025-11-15T15-03-11+0000	ai	331-339	medium	choose which covariates to check for balance across skin-tone groups and normalize their means relative to the light-skin group
2025-11-15T15-38-19+0000	positive	142-150	high	fit an unadjusted logistic regression of red card receipt on dark_skin alone, with standard errors clustered by player
2025-11-15T17-13-29+0000	ai	31-31	high	load the raw soccer referee dataset from a fixed CSV path with no filtering at read time
2025-11-15T17-13-29+0000	ai	53-53	high	binarize skin category into a dark-skin indicator used as the exposure
2025-11-15T17-13-29+0000	ai	56-71	high	collapse free-text position strings into a small set of position buckets via keyword matching, with an Unknown catch-all
2025-11-15T17-13-29+0000	ai	85-89	high	choose the fixed set of variables (outcome, exposure, covariates, IDs) that will be carried into modeling
2025-11-15T17-13-29+0000	ai	401-402	medium	drop skin-tone values supported by fewer than 100 dyads before plotting the rate-by-skin-tone curve
2025-11-15T18-59-03+0000	ai	53-53	medium	compute player age as a fixed reference year (2012) minus birth year rather than age at time of match
2025-11-15T20-23-37+0000	positive	34-34	high	point the analysis at a specific local CSV file as the full data source
2025-11-15T22-00-27+0000	negative	252-252	high	restrict the interaction-sensitivity sample to dyads with non-missing referee implicit-bias score
2025-11-15T23-57-58+0000	negative	332-333	medium	compute normal-approximation (Wald) confidence intervals for the odds ratios from their log-scale standard errors, for the forest-style comparison plot
2025-11-15T23-57-58+0000	negative	351-351	medium	restrict the position-distribution panel to the 8 most common positions rather than showing all categories
2025-11-16T04-53-17+0000	negative	18-19	high	load the raw soccer referee-player dyad dataset from a fixed path
2025-11-16T07-53-05+0000	ai	149-154	low	choose a set of covariates and compute their unadjusted group means to check pre-adjustment balance
2025-11-16T07-53-05+0000	ai	339-347	high	refit the model excluding yellow cards from the adjustment set to check whether it acts as a mediator
2025-11-16T07-53-05+0000	ai	359-361	high	restrict the sample to only the most extreme rater scores (0.00 vs 1.00) as an alternative exposure contrast
2025-11-16T11-59-47+0000	ai	34-36	high	load the raw player-referee dyad dataset from CSV
2025-11-16T11-59-47+0000	ai	76-92	high	collapse detailed playing positions into four broad position groups
2025-11-16T11-59-47+0000	ai	138-139	low	pick which covariates to compare across skin-tone groups as a balance check
2025-11-16T21-46-30+0000	ai	147-151	medium	approximate the AME's standard error via a delta-method scaling of the logit coefficient's SE
2025-11-16T21-46-30+0000	ai	293-309	medium	compute the red-card rate and a normal-approximation 95% CI separately for every distinct observed skin-tone value
2025-11-16T23-15-36+0000	ai	337-345	low	hardcode the point estimates and confidence intervals for four of the six specifications as literal numbers in the plotting code rather than reading them from the result objects fitted earlier
2025-11-17T01-20-10+0000	ai	227-227	high	announce a sensitivity sweep over alternative skin-tone cutoffs
2025-11-17T01-20-10+0000	ai	252-252	high	announce swapping the dichotomized exposure for the raw continuous skin-tone score
2025-11-17T01-20-10+0000	ai	273-273	high	announce adding league-country fixed effects to the adjustment set
2025-11-17T01-20-10+0000	ai	294-294	high	announce dropping yellow-card count from the adjustment set
2025-11-17T01-20-10+0000	ai	315-315	high	announce a minimally-adjusted specification
2025-11-17T01-20-10+0000	ai	364-364	low	populate the forest plot's robustness-check row values with hand-typed literal numbers instead of referencing the actually-computed rd/rd_cont/rd_league/rd_noyellow/rd_min variables from section 5
2025-11-17T01-20-10+0000	ai	372-373	low	substitute a single hand-picked approximate CI half-width for every forest-plot row instead of the CI actually computed for each specification
2025-11-17T03-01-51+0000	ai	73-80	high	restrict the working dataset to a fixed set of variables carried into all downstream models
2025-11-17T03-01-51+0000	ai	222-225	medium	derive a two-sided p-value via a normal-approximation z-test built from the bootstrap standard error rather than from the bootstrap distribution's own tails
2025-11-17T05-02-45+0000	ai	39-43	high	derive player age by subtracting birth year from a fixed 2012 season-reference year, coercing bad dates to missing
2025-11-17T05-02-45+0000	ai	172-172,175-179	medium	choose which covariates (age, height, weight, games) to inspect for balance across skin-tone groups
2025-11-17T14-46-19+0000	standard	22-24	high	load the player-referee dyad dataset from a fixed CSV path as the entire analysis input
2025-11-17T14-46-19+0000	standard	266-268	medium	bin the continuous skin-tone score into 9 groups to plot red-card rate against tone
2025-11-17T15-56-59+0000	standard	45-46	high	derive player age by anchoring to a fixed reference year (2012) rather than to game date or current date
2025-11-17T15-56-59+0000	standard	53-56	high	pick which columns enter the modeling dataset, fixing the covariate and identifier set for everything downstream
2025-11-17T16-55-57+0000	standard	83-85,227-227	high	code dark-skinned players as 1 and light-skinned as 0, making light the reference category
2025-11-17T18-58-32+0000	standard	305-305	medium	draw the 0.5 dichotomization cutoff as a reference line on the skin tone histogram
2025-11-17T18-58-32+0000	standard	314-314	low	exclude players with missing position from the by-position red card rate chart
2025-11-17T20-22-41+0000	standard	125-126	high	code dark skin tone as the exposure indicator with light as reference
