run,code_id,kind,prose_a,verdict_a,why_a,prose_b,verdict_b,why_b,reviewer_verdict,reviewer_note
2025-11-15T02-22-25+0000,19,matched_only_in_A,59,same_option,both resample at player level for the bootstrap,,,,,
2025-11-20T01-31-19+0000,24,matched_only_in_A,40,same_option,both restrict to dyads complete on covariates,,,,,
2025-11-20T22-39-34+0000,41,matched_only_in_A,62,same_option,both include position as categorical covariate,,,,,
2025-11-21T00-55-35+0000,7,matched_only_in_A,2,vaguer,"7 just loads CSV; 2 specifies counts, season, leagues",,,,,
2025-11-22T00-10-57+0000,1,matched_only_in_A,22,vaguer,1 loads dyad dataset; 22 states dyad unit plus aggregation,,,,,
team-06,48,matched_only_in_A,59,same_option,both fit/present the high-Exp interaction model,,,,,
team-07,1,matched_only_in_A,49,same_option,both take all player-referee dyads as the population,,,,,
team-17,3,matched_only_in_A,30,same_option,referee random intercept centered at zero with estimated precision,,,,,
2025-11-15T02-22-25+0000,7,matched_only_in_B,,,,41,same_option,both collapse position into a small category set,,
2025-11-20T23-33-39+0000,22,matched_only_in_B,,,,40,vaguer,list 2 unnamed listwise deletion; list 1 names missing position,,
2025-11-29T13-19-54+0000,43,matched_only_in_B,,,,72,same_option,both vary the dichotomisation threshold as sensitivity check,,
2025-11-29T20-04-37+0000,1,matched_only_in_B,,,,29,same_option,both set the player-referee dyad as analysis population,,
team-06,17,matched_only_in_B,,,,24,same_option,both enter rater skin-tone categories as indicator dummies,,
team-08,14,matched_only_in_B,,,,47,same_option,both report 95% confidence intervals for coefficients,,
team-10,12,matched_only_in_B,,,,33,same_fork_different_option,"one says club unusable, other tests club against tone",,
team-18,41,matched_only_in_B,,,,19,same_option,both fix covariate set excluding age/position/weight/height,,
2025-11-12T12-24-45+0000,23,partner_and_verdict,82,same_option,both drop dyads missing covariates for complete-case,25,same_fork_different_option,"list 2 adjustment set adds age, height, weight",,
2025-11-19T05-56-22+0000,12,partner_and_verdict,69,vaguer,69 says dichotomized but omits the cutoffs 12 states,37,same_option,both dichotomise skin tone at the 0.25/0.75 cutoffs,,
2025-11-20T22-17-42+0000,15,partner_and_verdict,47,vaguer,list1 just says dichotomized; list2 gives cutoffs and drops medium,4,same_option,same 0.25/0.75 cutoffs defining dark vs light groups,,
2025-11-28T20-35-16+0000,20,partner_and_verdict,129,same_option,"same adjustment set games/age/position/league, mediators excluded",51,vaguer,"write-up names no specific covariates, code lists four",,
team-02,14,partner_and_verdict,44,same_option,"same adjusted set: position, height, weight, league/country fixed effects",11,vaguer,list 2 says only 'player characteristics such as position',,
team-05,11,partner_and_verdict,79,same_option,"both drop missing avgrate or meanIAT, not meanExp",19,same_fork_different_option,listwise deletion on avgrate+meanIAT versus also meanExp,,
team-17,2,partner_and_verdict,31,vaguer,"player mu0/precision hyperpriors; one names distributions, other says weakly informative",30,same_option,both give players a normal random intercept with estimated mean mu0 and precision,,
2025-11-12T11-24-34+0000,1,partner_only,124,same_option,analysis population/unit is the player-referee dyad,27,same_option,analysis population is the player-referee dyad table,,
2025-11-12T11-24-34+0000,10,partner_only,75,same_option,standard errors clustered by player,65,same_option,cluster-robust standard errors clustered by player,,
2025-11-17T18-58-32+0000,27,partner_only,69,same_option,"both fit logistic model, SE clustered by player",74,same_option,both fit logistic regression as the model,,
2025-11-19T05-56-22+0000,29,partner_only,188,same_option,both fit logistic model with player-clustered SEs,53,same_option,both fit logistic regression with player-clustered robust errors,,
2025-11-27T03-25-45+0000,6,partner_only,72,same_option,both drop rows missing covariates via complete-case,29,same_option,both drop dyads lacking skin-tone ratings,,
2025-11-28T22-36-39+0000,35,partner_only,80,same_option,both compute risk-difference CI via parametric bootstrap,96,same_option,"both use 5,000-draw parametric bootstrap for the CI",,
2025-11-29T13-19-54+0000,14,partner_only,135,same_option,both dichotomize skin tone at 0.25,34,same_option,both dichotomise skin tone at the 0.25 cutoff,,
team-06,34,partner_only,36,same_option,both define the rater x high-IAT interaction terms,54,same_option,"same IAT-moderation RHS: skin tone, highIAT, interactions, controls",,
2025-11-12T13-06-46+0000,10,verdict_only,116,same_option,both make adjusted risk difference the primary effect,116,vaguer,both make risk difference primary; list 1 omits estimation method,,
2025-11-16T02-42-50+0000,21,verdict_only,61,same_option,both dummy-code league and position categoricals,61,vaguer,list 2 omits dropping first level as reference,,
2025-11-17T18-58-32+0000,23,verdict_only,4,same_option,both name the same covariate adjustment set,4,vaguer,same adjustment set; list 1 says 'physical characteristics',,
2025-11-22T00-10-57+0000,6,verdict_only,27,same_option,both define the binary light-vs-dark primary exposure,27,vaguer,list 2 gives no score ranges for dark/light,,
2025-11-26T22-40-16+0000,1,verdict_only,3,vaguer,both denote the full raw dyad dataset,3,same_option,both take the full player-referee dyad dataset as loaded,,
2025-11-29T11-47-15+0000,18,verdict_only,46,same_option,both z-score the continuous covariates (height/weight/age),46,vaguer,"one names height/weight/age, other says continuous covariates",,
2025-11-29T18-13-22+0000,9,verdict_only,83,same_option,both fit adjusted logistic regression of any-red on dark flag,83,vaguer,same logistic model; list 2 leaves covariates unnamed,,
team-10,5,verdict_only,32,same_option,both compute per-game game-situation rates (loss common),32,same_fork_different_option,"one computes win/draw/loss rates, other only loss rate",,
