slot,fork,ari,ami,shared_runs,their_choices,our_options
missing_data.missing_data_strategy,"how are records with missing covariates handled — complete-case, impute, or recode as explicit category?",0.7915,0.5713,106,24,8
statistical_modeling.primary_model_type,"which regression model, estimator, and SE scheme specifies the primary confound-adjusted skin-tone effect on red cards?",0.5452,0.4488,84,4,16
outcome_measurement.red_card_operationalization,"How is the red-card outcome operationalised and modelled — a binary indicator, a raw count, or a count with an exposure offset?",0.4297,0.2998,199,5,2
statistical_modeling.standard_error_method,how are the regression model's standard errors estimated?,0.2517,0.2356,105,19,5
sample_definition.exclusion_criteria,"how are records with missing covariates handled — complete-case, impute, or recode as explicit category?",0.1616,0.2222,106,41,8
model_comparison.multiple_models_strategy,How are dyads with a missing skin-tone rating handled?,0.2228,0.1705,141,3,4
statistical_modeling.covariate_adjustment,which covariates make up the model's adjustment set?,0.0873,0.1554,122,15,35
statistical_modeling.variable_transformations,which covariates make up the model's adjustment set?,0.1569,0.141,122,37,35
data_structure.unit_of_analysis,how are continuous predictors transformed and z-scored/standardized before modeling?,0.1012,0.138,57,2,9
exposure_measurement.skin_tone_operationalization,how is the skin-tone rating entered as the exposure — continuous or split/binned at which cutpoints?,0.0809,0.1067,203,32,17
