run,decisions,forks_a,forks_b,same_fork_count,fork_count_delta,ari,pair_recall,co_pairs
2025-11-12T09-30-16+0000,23,22,22,True,0,1.0,1.0,1
2025-11-12T09-52-44+0000,23,21,23,False,2,0.0,0.0,2
2025-11-12T10-05-42+0000,18,18,18,True,0,1.0,,0
2025-11-12T10-39-00+0000,17,16,16,True,0,1.0,1.0,1
2025-11-12T11-24-34+0000,18,18,18,True,0,1.0,,0
2025-11-12T12-24-45+0000,15,15,15,True,0,1.0,,0
2025-11-12T12-54-24+0000,22,21,20,False,-1,0.6647,1.0,1
2025-11-12T13-06-46+0000,14,14,14,True,0,1.0,,0
2025-11-12T13-46-32+0000,18,18,18,True,0,1.0,,0
2025-11-12T17-10-55+0000,21,20,20,True,0,1.0,1.0,1
2025-11-12T17-30-15+0000,16,14,14,True,0,0.4915,0.5,2
2025-11-12T18-01-53+0000,19,19,19,True,0,1.0,,0
2025-11-12T18-56-42+0000,15,14,14,True,0,1.0,1.0,1
2025-11-12T19-55-38+0000,20,19,19,True,0,1.0,1.0,1
2025-11-12T20-35-40+0000,23,23,23,True,0,1.0,,0
2025-11-12T21-15-40+0000,17,16,16,True,0,-0.0074,0.0,1
2025-11-12T22-11-51+0000,20,19,19,True,0,1.0,1.0,1
2025-11-12T22-55-33+0000,18,18,18,True,0,1.0,,0
2025-11-13T00-05-19+0000,20,20,20,True,0,1.0,,0
2025-11-14T21-21-29+0000,15,15,15,True,0,1.0,,0
2025-11-14T22-05-46+0000,20,19,20,False,1,0.0,0.0,1
2025-11-15T01-08-22+0000,20,20,19,False,-1,0.0,,0
2025-11-15T02-22-25+0000,25,25,25,True,0,1.0,,0
2025-11-15T15-03-11+0000,18,18,17,False,-1,0.0,,0
2025-11-15T15-38-19+0000,14,14,14,True,0,1.0,,0
2025-11-15T17-13-29+0000,19,19,19,True,0,1.0,,0
2025-11-15T18-59-03+0000,15,15,15,True,0,1.0,,0
2025-11-15T20-23-37+0000,17,16,15,False,-1,0.4944,1.0,1
2025-11-15T22-00-27+0000,16,16,16,True,0,1.0,,0
2025-11-15T23-57-58+0000,23,23,23,True,0,1.0,,0
2025-11-16T00-54-53+0000,19,19,17,False,-2,0.0,,0
2025-11-16T02-42-50+0000,15,15,15,True,0,1.0,,0
2025-11-16T04-53-17+0000,18,18,18,True,0,1.0,,0
2025-11-16T07-53-05+0000,21,21,21,True,0,1.0,,0
2025-11-16T09-53-00+0000,17,17,17,True,0,1.0,,0
2025-11-16T11-59-47+0000,20,19,18,False,-1,0.6643,1.0,1
2025-11-16T17-04-39+0000,19,19,19,True,0,1.0,,0
2025-11-16T18-27-13+0000,18,18,18,True,0,1.0,,0
2025-11-16T21-46-30+0000,17,16,16,True,0,1.0,1.0,1
2025-11-16T23-15-36+0000,15,15,15,True,0,1.0,,0
2025-11-17T01-20-10+0000,30,23,23,True,0,1.0,1.0,8
2025-11-17T03-01-51+0000,22,22,22,True,0,1.0,,0
2025-11-17T05-02-45+0000,21,20,21,False,1,0.0,0.0,1
2025-11-17T14-46-19+0000,16,15,15,True,0,1.0,1.0,1
2025-11-17T15-56-59+0000,18,18,18,True,0,1.0,,0
2025-11-17T16-55-57+0000,16,16,16,True,0,1.0,,0
2025-11-17T18-58-32+0000,15,15,15,True,0,1.0,,0
2025-11-17T20-22-41+0000,22,22,22,True,0,1.0,,0
2025-11-17T21-31-42+0000,20,20,18,False,-2,0.0,,0
2025-11-17T23-27-27+0000,20,20,20,True,0,1.0,,0
2025-11-18T01-05-44+0000,14,14,14,True,0,1.0,,0
2025-11-18T02-52-55+0000,16,16,16,True,0,1.0,,0
2025-11-18T04-16-31+0000,22,22,22,True,0,1.0,,0
2025-11-19T03-21-59+0000,16,16,16,True,0,1.0,,0
