fork,option,occurrence,members,runs
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh",dichotomize whole sample at 0.5,1,64,64
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh",dichotomize whole sample at 0.5 #2,2,2,2
how is the adjusted effect derived from the fitted model?,marginal standardization / g-computation averaging counterfactual predictions ov,1,138,136
how is the adjusted effect derived from the fitted model?,marginal standardization / g-computation averaging counterfactual predictions ov,2,4,4
"how are the model's standard errors computed and clustered, if at all?",one-way cluster by a single grouping variable (player / referee / referee countr,1,67,65
"how are the model's standard errors computed and clustered, if at all?",one-way cluster by a single grouping variable (player / referee / referee countr,2,10,10
How are the standard error and confidence interval for the effect estimate obtai,analytic Wald/delta-method normal-approximation SE/CI for the effect estimate,1,63,62
How are the standard error and confidence interval for the effect estimate obtai,analytic Wald/delta-method normal-approximation SE/CI for the effect estimate #2,2,11,11
How are the standard error and confidence interval for the effect estimate obtai,analytic Wald/delta-method normal-approximation SE/CI for the effect estimate #3,3,1,1
is a rater-by-moderator interaction included in the model?,"add rater x moderator interaction to RHS (highIAT for implicit, highExp for expl",1,1,1
is a rater-by-moderator interaction included in the model?,"add rater x moderator interaction to RHS (highIAT for implicit, highExp for expl",2,1,1
which predictor set and functional form defines the primary regression model?,log(games) + position + league,1,23,23
which predictor set and functional form defines the primary regression model?,log(games) + position + league #2,2,1,1
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh",dichotomize whole sample at 0.25,1,45,45
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh",dichotomize whole sample at 0.25 #2,2,1,1
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh","continuous, no binning",1,118,116
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh","continuous, no binning #2",2,4,4
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh","continuous, no binning #3",3,1,1
how is the sampling variability of the effect estimate produced — what resamplin,nonparametric bootstrap resampling dyads/rows as the unit,1,16,16
how is the sampling variability of the effect estimate produced — what resamplin,nonparametric bootstrap resampling dyads/rows as the unit #2,2,1,1
on what scale or contrast is the skin-tone effect reported?,exponentiate coefficient to a model-based odds ratio,1,132,132
on what scale or contrast is the skin-tone effect reported?,exponentiate coefficient to a model-based odds ratio #2,2,4,4
what link/functional form is used for the control-cascade red-card model?,categorical/nonlinear functional form,1,1,1
what link/functional form is used for the control-cascade red-card model?,categorical/nonlinear functional form #2,2,1,1
which single covariate is added or removed from the adjustment set in the confou,add a single covariate to the adjustment set and refit,1,22,22
which single covariate is added or removed from the adjustment set in the confou,add a single covariate to the adjustment set and refit #2,2,4,4
"Is the effect estimated within league/country subgroups, or pooled?",compute unadjusted/crude risk difference stratified within league/country subgro,1,7,7
"Is the effect estimated within league/country subgroups, or pooled?",compute unadjusted/crude risk difference stratified within league/country subgro,2,1,1
Is a bias-by-rater interaction block added to the model?,add both implicit+explicit bias x rater interaction as one final block,1,1,1
Is a bias-by-rater interaction block added to the model?,add both implicit+explicit bias x rater interaction as one final block #2,2,1,1
on what scale or contrast is the skin-tone effect reported?,average marginal effect on the risk-difference scale,1,29,28
on what scale or contrast is the skin-tone effect reported?,average marginal effect on the risk-difference scale #2,2,2,2
how is the skin-tone exposure entered into the model (categorical vs continuous),enter rating as a categorical factor,1,1,1
how is the skin-tone exposure entered into the model (categorical vs continuous),enter rating as a categorical factor #2,2,1,1
What is the primary regression model specification for the skin-tone to red-card,GLM with focal-predictor interactions plus remaining covariates,1,1,1
What is the primary regression model specification for the skin-tone to red-card,GLM with focal-predictor interactions plus remaining covariates #2,2,1,1
What is the primary regression model specification for the skin-tone to red-card,GLM with focal-predictor interactions plus remaining covariates #3,3,1,1
on what scale or contrast is the skin-tone effect reported?,report risk difference plus odds ratio,1,13,13
on what scale or contrast is the skin-tone effect reported?,report risk difference plus odds ratio #2,2,1,1
how is country-level referee bias (meanIAT) incorporated into the model?,compute country meanIAT and pair with gm3 random slope,1,1,1
how is country-level referee bias (meanIAT) incorporated into the model?,compute country meanIAT and pair with gm3 random slope #2,2,1,1
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh","extreme groups, cutoffs unspecified",1,42,42
"how is skin tone operationalized as the exposure (continuous, dichotomized at wh","extreme groups, cutoffs unspecified #2",2,1,1
what link/functional form is used for the control-cascade red-card model?,linear functional form (identity link / linear probability model),1,1,1
what link/functional form is used for the control-cascade red-card model?,linear functional form (identity link / linear probability model) #2,2,1,1
how is a bias-by-rater interaction block added to the model?,add a single bias measure x rater interaction as the third block,1,1,1
how is a bias-by-rater interaction block added to the model?,add a single bias measure x rater interaction as the third block #2,2,1,1
How is bias entered as a moderator of the skin-tone effect?,"cross-level interaction of skin tone with country-mean bias, full sample",1,1,1
How is bias entered as a moderator of the skin-tone effect?,"cross-level interaction of skin tone with country-mean bias, full sample #2",2,1,1
