fork_a,cov_a,eff_a,nopt_a,jaccard,containment,event,in_b_qualifying,cov_b,eff_b,nopt_b,cov_delta,eff_delta
how is the skin-tone rating entered as the exposure — continuous or split/binned at which cutpoints?,0.946,4.61,23,0.7473,0.8686,matched,True,0.928,5.28,19,-0.018,0.67
which covariates make up the model's adjustment set?,0.57,13.8,37,0.395,0.5663,merged into a larger B fork,True,0.637,14.02,45,0.067,0.22
what rule determines whether the effect is declared statistically supported?,0.534,5.83,17,0.5234,0.5403,matched,True,0.318,2.54,5,-0.215,-3.29
how are the confidence interval and p-value for the exposure effect computed?,0.498,3.87,8,0.3631,0.4178,scattered,False,0.309,1.22,2,-0.188,-2.64
"how are records with missing covariates handled — complete-case, impute, or recode as explicit category?",0.498,1.69,8,0.3312,0.4444,scattered,True,0.399,12.44,35,-0.099,10.75
"which regression model, estimator, and SE scheme specifies the primary confound-adjusted skin-tone effect on r",0.417,3.2,22,0.3027,0.4746,scattered,True,0.471,2.81,6,0.054,-0.4
"how many categories, and by what mapping, is player position collapsed into?",0.399,3.12,9,0.7745,0.8876,matched,True,0.413,2.98,6,0.014,-0.14
"how is the crude, unadjusted association estimated and tested?",0.368,1.91,9,0.1729,0.5862,merged into a larger B fork,True,0.744,1.58,11,0.377,-0.33
Which control variables and functional forms enter the regression model?,0.265,8.27,17,0.2032,0.6441,merged into a larger B fork,True,0.637,14.02,45,0.372,5.75
how are continuous predictors transformed and z-scored/standardized before modeling?,0.265,2.23,9,0.4219,0.9153,merged into a larger B fork,True,0.471,2.81,6,0.206,0.57
